run	mae	sr	r	rrank
0	3.777573801125704	0.2655495244006229	0.953404656076674	0.8898101024428036
1	3.749369605065666	0.27074657160226845	0.953422952548623	0.8906857680907564
2	3.7424573574108813	0.2647281493802311	0.9538962932966245	0.8928197277238393
3	3.749380363977486	0.2585886770701749	0.9534789368409881	0.8904967281512626
4	3.751137597560975	0.2622452719255186	0.953393210292038	0.8911798604924256
5	3.7297593377110694	0.24619473644445058	0.9541236445042105	0.8899292405836524
6	3.7623178480300195	0.2605224233971864	0.9535390724614532	0.8894681706677495
7	3.773126326454034	0.27092547990991606	0.9528387796322467	0.8923843321604467
8	3.735719607879924	0.26263368449545677	0.9539921146853929	0.8921889795502967
9	3.728353015947467	0.2543556526662459	0.9548287300481686	0.891048550336869
10	3.726796954971858	0.24759771417707735	0.9540045026049979	0.8908250540255984
11	3.721705371482176	0.23758434990720934	0.9540548163140407	0.8924076586353604
12	3.735141173545966	0.26441331957431546	0.9540421198647643	0.8941246081359845
13	3.742906809568481	0.2524728291110373	0.9532447115815835	0.8916349633268718
14	3.771859285178236	0.26778699990613547	0.9532184563623421	0.8909599325009863
15	3.7578217354596624	0.26400989495343413	0.9535262435758974	0.8915309090601113
16	3.747175312382739	0.24763001716351926	0.9535106389524812	0.8901956361442219
17	3.7659376894934335	0.26623082272852966	0.9539513227633069	0.8916623756692582
18	3.7950577936210124	0.27009841524861355	0.9529907704453336	0.8906398732417665
19	3.761731530018762	0.24839976041139664	0.9531386762965918	0.8910398212452458
20	3.723617383677298	0.25492793326884994	0.9541131795846429	0.8935778191384772
21	3.755210613508442	0.25594036765693023	0.9537493047006608	0.8908151729511747
22	3.7797685515947466	0.25823550652704363	0.9532802890517924	0.8918409175145773
23	3.73202969043152	0.24300099334399494	0.953330078800769	0.8887806109731876
24	3.723402425891182	0.2635395245388781	0.9539633544659936	0.8924052379581855
25	3.784667522514072	0.2757593198957308	0.9530126232301346	0.890010635935189
26	3.7775165647279554	0.27700547598480246	0.9533977393022235	0.890832842701912
27	3.7411199296435274	0.2583625537335361	0.9542851340994466	0.8924537361520432
28	3.7367600581613507	0.26449573748793975	0.9544103474793492	0.8913119063130579
29	3.7542269840525337	0.2661277522289267	0.9532207096174999	0.8905380811143022
30	3.7635559015009385	0.2509878791025963	0.9528845065601479	0.8906332365421983
31	3.753612914634147	0.2659095291099618	0.9534269929806024	0.8919769876247915
32	3.787498503752345	0.2593963528666527	0.9526986285027811	0.8891511114565294
33	3.742259891181988	0.2632421293882235	0.9544089662147183	0.8925734514372776
34	3.734251522514072	0.23887579221293148	0.9535765793700942	0.8925945881516079
35	3.756133790806755	0.25576207478190316	0.953535871232447	0.8905868637367091
36	3.7495945590994375	0.2549827766879113	0.9534594796958984	0.8919674281299862
37	3.7556462992495305	0.2578871634603633	0.9541040889470345	0.8917954941559872
38	3.7520802176360233	0.2648303487558054	0.9534145855363033	0.8932723879069161
39	3.7489423996247653	0.2592822559234714	0.9535867604729247	0.8914296215139809
40	3.8018831153846153	0.2569538965399127	0.9530708418993036	0.8884707501470734
41	3.7515828330206373	0.25317724202013653	0.9540388902460775	0.893715199790224
42	3.761245453095685	0.2472978208864346	0.9536133865765296	0.8880615773486186
43	3.73162569043152	0.26104876652016035	0.9539340838314754	0.893508831451886
44	3.728063195121951	0.24060978185616722	0.9540757330639089	0.890760467278914
45	3.7526402532833023	0.27098040697992043	0.9537508553330302	0.8922617423944471
46	3.7466397879924958	0.2460880482923355	0.9536144719371153	0.8880555220964179
47	3.7572421613508444	0.2529931212723102	0.9534516962179651	0.8907673551692259
48	3.7972727926829264	0.2621281221894729	0.9523982962197576	0.888912504796296
49	3.7535546341463415	0.26619377158232455	0.9536592157932526	0.8923765193418245
