,BLUP-mean,BLUP-quantiles,SVM,BabyNet,OldBabyNet,ResNet,Inception V1
Fold 1,5.32 (0.19),4.90 (0.19),5.31 (0.18),4.18 (0.16),4.01 (0.15),4.02 (0.15),3.82 (0.14)
Fold 2,5.05 (0.18),4.79 (0.19),5.34 (0.18),4.47 (0.15),4.12 (0.13),4.01 (0.14),3.97 (0.15)
Fold 3,4.90 (0.18),4.37 (0.16),4.84 (0.17),4.41 (0.16),4.27 (0.15),3.88 (0.14),4.00 (0.16)
Fold 4,5.07 (0.18),4.71 (0.18),5.06 (0.18),4.55 (0.17),4.27 (0.16),4.11 (0.15),3.85 (0.15)
Fold 5,5.22 (0.19),4.69 (0.18),5.20 (0.18),4.02 (0.16),3.89 (0.15),3.99 (0.16),3.75 (0.15)
Mean,5.11 (0.13),4.69 (0.12),5.15 (0.13),4.33 (0.11),4.11 (0.10),4.00 (0.10),3.88 (0.10)
