run	mae	sr	r	rrank
0	3.7515161596153836	0.32122109379026736	0.9502314507889519	0.9059410358185228
1	3.724389096153846	0.3350728790721109	0.9511036169131072	0.9082271749321286
2	3.8004726519230765	0.343962191017072	0.9495256697613966	0.905007566575848
3	3.7203456500000005	0.34604809204759573	0.9507469379173492	0.9095560769344063
4	3.714560267307693	0.3310194112831912	0.9510959142958731	0.9083730652688083
5	3.7693622307692314	0.3380712427555034	0.9494679118431432	0.9071635957017934
6	3.7038373711538464	0.3250147421552513	0.9510443272823443	0.9078370400405291
7	3.7533729288461535	0.33433252290360865	0.9498397989009121	0.9066875524101428
8	3.7497104807692305	0.32911634260663536	0.9503073585353558	0.9074849413458586
9	3.7490708596153848	0.33351882923444265	0.9502254320226879	0.9075992366178285
10	3.756295034615384	0.3312348764603392	0.9503298950073302	0.9062951779720019
11	3.730507036538462	0.33437965223239696	0.9499456770375255	0.9076461267652485
12	3.7711602769230765	0.32272688335064154	0.9493114963950556	0.9075046495317918
13	3.7816359192307694	0.32650995642460395	0.9494045052501595	0.9044843288441623
14	3.7650552384615383	0.3356924268731427	0.9496359801006946	0.907234339026008
15	3.736705526923077	0.33407557824393824	0.9499976107374758	0.9093345156375007
16	3.7699398019230768	0.34395252036790996	0.9490608762050512	0.9074392819222941
17	3.734105136538462	0.3349371554712374	0.9500909584540698	0.9060802075336191
18	3.7791720288461534	0.35782147100633505	0.9498047551343579	0.9074993492682479
19	3.7644082057692305	0.3466394246178121	0.9499804369920725	0.9084996123491214
20	3.760431486538461	0.335949314667555	0.9490955175496454	0.9072612588683774
21	3.7406165923076924	0.3249226473844612	0.9499519349661589	0.9078029199823745
22	3.7652375692307687	0.34338545314121927	0.9494066734120866	0.9083138380135332
23	3.7247813038461532	0.33329782750938236	0.9512226560482516	0.9076994908462982
24	3.7492171499999998	0.3370611474614142	0.949882543651277	0.9068637628945422
25	3.76559595	0.33083502834470996	0.949595038220281	0.9080871066892008
26	3.720244907692308	0.33239462877057524	0.9509725605540937	0.9089426553033702
27	3.733043611538461	0.3321956581403001	0.9505877914526941	0.9078312721206406
28	3.7272902423076917	0.33940280358985747	0.9508703162727773	0.9086086405695282
29	3.7692843865384615	0.33314073462911126	0.9492617123616588	0.9080383652309663
30	3.735936730769231	0.3345923994482129	0.9500969011596095	0.9087088054368572
31	3.744405026923076	0.33106724495397266	0.950395069050662	0.9078781503761363
32	3.732461946153846	0.3413043703822451	0.9502517868019008	0.9079088527709241
33	3.723102373076922	0.3335234617530587	0.9507775100350464	0.908278111285144
34	3.7716250692307693	0.3529815688642513	0.9494308626569417	0.9076562824712342
35	3.7552893288461537	0.3409782518536159	0.9493857258824595	0.9079899305413298
36	3.7456014153846153	0.33728513799328647	0.9500672206779017	0.907486377620315
37	3.7680646692307684	0.34253166077347963	0.9491093839317377	0.9061631659005907
38	3.7463184326923082	0.33353920235384754	0.9497243750039459	0.9071674984023298
39	3.7507696249999998	0.3397887474310869	0.9499769897804753	0.9087074720610124
40	3.7359401057692305	0.325689409806993	0.9505436283202959	0.9071168649068433
41	3.7471405884615385	0.32262839051386427	0.9495998999596638	0.9079123965407402
42	3.7201199307692296	0.33073637900370617	0.9504890649463509	0.908171834975166
43	3.7347182076923073	0.33993642572418803	0.9507691369874891	0.9082395449593063
44	3.699251326923077	0.3240099628247757	0.9512842114131492	0.907313627529903
45	3.7882018673076923	0.35044466411330405	0.9498516839342562	0.9073589860873349
46	3.756639857692307	0.33001624669818896	0.9497551257196623	0.9064768842114193
47	3.7613377019230763	0.3392575162657979	0.9497122896154002	0.9065383705003994
48	3.7552269	0.3339969321716363	0.9495435616734597	0.9093556676243337
49	3.7530193500000006	0.32823043614637687	0.9501843378372666	0.9078623528473666
