run	mae	sr	r	rrank
0	3.70795027488627	0.29247730025420204	0.9568547462191312	0.9024859293516654
1	3.647655846189781	0.2775201793275515	0.9583591861958959	0.9073186595612052
2	3.6686509845727153	0.2774415781562651	0.9577042335327025	0.9054641577829982
3	3.6862405959107103	0.29647005324214	0.9578625500639165	0.9067027836085968
4	3.7093033847813364	0.3002291249707314	0.9572199316201428	0.9056003615563891
5	3.692774678112891	0.2893800300891069	0.9575742817607691	0.9051749979004519
6	3.691282292353338	0.29799255157819654	0.9573941419093057	0.904462477358636
7	3.6862710807704584	0.2980689841101227	0.9572567633510569	0.9064373410275
8	3.6936109382892743	0.28688202663519874	0.9573180352534243	0.9058315255808805
9	3.6650130337103604	0.29133727649182695	0.9579294125803323	0.906764739937335
10	3.682235463686316	0.296702303065758	0.9575962331493676	0.9066278078015197
11	3.7129289105116685	0.29019392957588985	0.9574055811088862	0.9026703166255708
12	3.677445390733697	0.28377004612726947	0.9576529865600751	0.9049746071883976
13	3.6843650967399397	0.29913897807833884	0.9569701663161556	0.905475128742018
14	3.682954400121649	0.2935273257344937	0.9576675166722749	0.9055158715151411
15	3.6728045896867765	0.285332565618535	0.9578965265704115	0.9048585222506307
16	3.680302572263795	0.2889222543052773	0.9576172924520208	0.9051853770650018
17	3.6878529838736336	0.29108148471285533	0.9576031831109703	0.9032033663398471
18	3.7066368629773705	0.2789722317914566	0.957114232145042	0.9041924825123856
19	3.663766150092378	0.2939062562858658	0.9575923865037265	0.9054928121302145
20	3.7019625515896313	0.28373613175187634	0.956775566098273	0.9048886148996492
21	3.6860938851575393	0.2977367597992249	0.958168427488972	0.9055860674438072
22	3.6823068665317003	0.285353096334377	0.9572736991311299	0.9054304254982111
23	3.68897937686133	0.30273992681610934	0.9573881947250712	0.9052743283260999
24	3.6858146166211827	0.3023170213833551	0.9579023769390219	0.90456494884724
25	3.699506244169064	0.2950410516553158	0.9571295780912235	0.9033106632295135
26	3.695528912579841	0.2973898771945331	0.9576656686159795	0.9044771811750817
27	3.6650919105978454	0.2662037653531886	0.9578204899244206	0.9050153954841724
28	3.7081354578022228	0.3049092177296764	0.9568164426452722	0.904797615119232
29	3.6966926851330375	0.27483572501448345	0.9573410238211633	0.9046664643601615
30	3.688534440068246	0.29285340840117896	0.9573508136697841	0.9060077437649701
31	3.74278782474208	0.30138895108652397	0.9567503080385508	0.901459256991611
32	3.719421320982511	0.28917863787871895	0.9568238639567157	0.9027551047901882
33	3.6992463716096724	0.30457553669392956	0.9571976351690493	0.9047898762684712
34	3.663330761810452	0.27417828688102414	0.9583114417232825	0.9056833948727877
35	3.6778663881172964	0.28290256647963063	0.9576975446179268	0.9042929965269736
36	3.717356972824532	0.2973444455883018	0.956920802905417	0.9048169167234825
37	3.6634164461906145	0.29494471901266767	0.9580157959414938	0.9054936564611925
38	3.7034836282825347	0.2971502754781668	0.9571934653187444	0.9044999880235005
39	3.697489171296912	0.2878693153752875	0.9571302474278367	0.9047898307458198
40	3.7020711589328155	0.2750917899293642	0.9572856190000477	0.9051136788888351
41	3.7396553440757185	0.31040257265828286	0.9563734061386165	0.9058579720878045
42	3.7153370051485255	0.29734362618057414	0.9571226115264871	0.9048469822582043
43	3.6547671704307225	0.27545811070626125	0.958068668443265	0.9023363874413751
44	3.7222730121940684	0.29880503986278184	0.9567410142023454	0.9048230167587881
45	3.699809437320872	0.2937600830517889	0.9575546808725925	0.9034635738160175
46	3.6773225217685668	0.30172782170454576	0.9580001910707184	0.9055175103305966
47	3.706774358498261	0.28085809867657074	0.9573806322634653	0.9023630637151743
48	3.6794961411274087	0.29250793699868466	0.958336635998331	0.9059304007800132
49	3.7128993616445687	0.28486777934636914	0.9569956440688316	0.9015133834242852
